"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"230","ENSG00000187416","hurdle",0,0.490803,5.143891,4.653088,0.978
"8","ENSG00000038427","hurdle",0,-1.703082,3.497198,5.20028,0.974
"59","ENSG00000106278","hurdle",0,0.9340344,4.3747885,3.4407541,0.954
"156","ENSG00000157890","hurdle",0,-1.417116,2.584467,4.001583,0.94
"63","ENSG00000110693","hurdle",0,0.8353265,3.9541483,3.1188218,0.928
"107","ENSG00000134853","hurdle",0,-2.556781,1.949487,4.506268,0.927
"72","ENSG00000112902","hurdle",0,-0.005444154,3.215870702,3.221314856,0.922
"238","ENSG00000198732","hurdle",0,-1.951801,2.02049,3.972291,0.913
"138","ENSG00000150275","hurdle",0,2.108379,4.638432,2.530053,0.911
"24","ENSG00000072134","hurdle",0,1.140488,3.600924,2.460436,0.911
"192","ENSG00000171310","hurdle",0,0.5988215,3.4410618,2.8422403,0.903
"247","ENSG00000227036","hurdle",0,0.146666,2.700211,2.553545,0.892
"81","ENSG00000116147","hurdle",0,2.514602,4.761428,2.246826,0.892
"86","ENSG00000122584","hurdle",0,1.839669,3.367097,1.527428,0.887
"229","ENSG00000187398","hurdle",0,1.571451,3.827557,2.256106,0.886
"220","ENSG00000184384","hurdle",0,0.7014627,3.1850491,2.4835864,0.875
"185","ENSG00000169302","hurdle",0,-2.558183,1.340254,3.898437,0.863
"164","ENSG00000162946","hurdle",0,-0.1272658,2.2215423,2.3488081,0.863
"121","ENSG00000140470","hurdle",0,0.1750524,2.2114619,2.0364095,0.858
"74","ENSG00000114166","hurdle",0,-0.07090992,2.25433221,2.32524213,0.856
"235","ENSG00000196562","hurdle",0,-1.219458,1.36385,2.583308,0.852
"67","ENSG00000112280","hurdle",0,-2.852333,1.005937,3.85827,0.847
"15","ENSG00000058866","hurdle",0,0.8642578,2.5354117,1.6711539,0.843
"18","ENSG00000064787","hurdle",0,-0.2815684,2.0864126,2.367981,0.841
"131","ENSG00000148123","hurdle",0,-0.1238586,2.1915757,2.3154343,0.84
"9","ENSG00000046889","hurdle",0,-0.001305466,2.051138849,2.052444315,0.839
"140","ENSG00000150760","hurdle",0,-0.08977088,1.93905205,2.02882293,0.835
"211","ENSG00000181234","hurdle",0,0.7258652,2.3944406,1.6685754,0.834
"44","ENSG00000101311","hurdle",0,-2.8848074,0.9657605,3.8505679,0.834
"236","ENSG00000197584","hurdle",0,2.342514,3.942635,1.600121,0.833
"202","ENSG00000176771","hurdle",0,1.221254,2.806186,1.584932,0.832
"113","ENSG00000137177","hurdle",0,1.040771,2.880877,1.840106,0.831
"193","ENSG00000171316","hurdle",0,-0.649441,1.629627,2.279068,0.83
"25","ENSG00000075461","hurdle",0,-1.8798017,0.9873021,2.8671038,0.829
"96","ENSG00000132122","hurdle",0,0.1142172,2.1830854,2.0688682,0.828
"20","ENSG00000065320","hurdle",0,-2.1555807,0.9906742,3.1462549,0.825
"174","ENSG00000165424","hurdle",0,-1.37004,1.198721,2.568761,0.816
"111","ENSG00000136205","hurdle",0,-1.549767,1.200664,2.750431,0.816
"213","ENSG00000181722","hurdle",0,2.233431,3.714047,1.480616,0.812
"147","ENSG00000152527","hurdle",0,-0.9762587,1.0778068,2.0540655,0.811
"221","ENSG00000185052","hurdle",0,0.3896179,1.9013272,1.5117093,0.81
"50","ENSG00000103489","hurdle",0,2.120664,3.732068,1.611404,0.81
"93","ENSG00000127946","hurdle",0,0.09971706,2.0245171,1.92480004,0.807
"136","ENSG00000148655","hurdle",0,0.8040153,2.4763683,1.672353,0.805
"224","ENSG00000185942","hurdle",0,1.338457,2.571139,1.232682,0.804
"99","ENSG00000132669","hurdle",0,-0.1864851,1.6482519,1.834737,0.802
"60","ENSG00000107104","hurdle",0,-0.2356256,1.5982866,1.8339122,0.802
"135","ENSG00000148498","hurdle",0,0.4877107,1.893142,1.4054313,0.801
"29","ENSG00000079482","hurdle",0,1.227541,2.817729,1.590188,0.8
"182","ENSG00000168461","hurdle",0,-0.8520028,1.3472857,2.1992885,0.799
"148","ENSG00000152953","hurdle",0,-1.931163,0.9531404,2.8843034,0.797
"240","ENSG00000203805","hurdle",0,-2.272073,0.726966,2.999039,0.788
"216","ENSG00000182132","hurdle",0,0.2466484,1.6598304,1.413182,0.788
"176","ENSG00000165895","hurdle",0,-1.2546452,0.9985119,2.2531571,0.785
"7","ENSG00000031081","hurdle",0,-1.650284,0.8566469,2.5069309,0.784
"95","ENSG00000130787","hurdle",0,-0.4900986,1.3618262,1.8519248,0.783
"80","ENSG00000116132","hurdle",0,-1.020676,1.261484,2.28216,0.783
"145","ENSG00000152492","hurdle",0,-0.5467361,1.4101956,1.9569317,0.781
"105","ENSG00000134569","hurdle",0,-1.8205445,0.5908995,2.411444,0.781
"162","ENSG00000162849","hurdle",0,0.803985,1.98317,1.179185,0.778
"132","ENSG00000148143","hurdle",0,0.3388307,1.9790259,1.6401952,0.778
"218","ENSG00000183960","hurdle",0,0.2837789,1.5296278,1.2458489,0.774
"45","ENSG00000101542","hurdle",0,1.522697,2.652398,1.129701,0.772
"91","ENSG00000127249","hurdle",0,-0.8574115,0.9630927,1.8205042,0.768
"101","ENSG00000133401","hurdle",0,2.558157,3.199207,0.64105,0.767
"16","ENSG00000060718","hurdle",0,0.9201003,2.1072737,1.1871734,0.766
"161","ENSG00000162670","hurdle",0,2.314097,3.162635,0.848538,0.764
"209","ENSG00000179314","hurdle",0,-2.2609936,0.3950062,2.6559998,0.763
"66","ENSG00000111962","hurdle",0,0.6014406,1.9873021,1.3858615,0.763
"137","ENSG00000148948","hurdle",0,4.478989,5.391733,0.912744,0.761
"100","ENSG00000132692","hurdle",0,-1.486842,0.6461151,2.1329571,0.761
"19","ENSG00000064989","hurdle",0,-1.4279711,0.8619758,2.2899469,0.761
"201","ENSG00000175928","hurdle",0,0.1366852,1.5216207,1.3849355,0.76
"200","ENSG00000174945","hurdle",0,-1.0231484,0.8826935,1.9058419,0.759
"187","ENSG00000170017","hurdle",0,1.539958,2.637178,1.09722,0.759
"160","ENSG00000162599","hurdle",0,1.886042,2.795943,0.909901,0.759
"234","ENSG00000196376","hurdle",0,2.83252,3.69074,0.85822,0.753
"143","ENSG00000152208","hurdle",0,3.551832,4.26226,0.710428,0.753
"219","ENSG00000184221","hurdle",0,-2.341206,0.2790577,2.6202637,0.752
"191","ENSG00000171094","hurdle",0,0.4274839,1.6572392,1.2297553,0.752
"112","ENSG00000136297","hurdle",0,-0.6435576,1.112958,1.7565156,0.752
"183","ENSG00000169129","hurdle",0,-1.4937576,0.6484892,2.1422468,0.751
"155","ENSG00000156103","hurdle",0,2.608458,3.586882,0.978424,0.751
"207","ENSG00000178764","hurdle",0,-0.1264855,1.459702,1.5861875,0.748
"170","ENSG00000164309","hurdle",0,-0.7444179,0.8158289,1.5602468,0.743
"88","ENSG00000123104","hurdle",0,1.503641,2.125453,0.621812,0.743
"68","ENSG00000112531","hurdle",6.11400013018388e-290,2.865594,3.707402,0.841808,0.742
"57","ENSG00000105894","hurdle",0,0.06577778,1.45591186,1.39013408,0.741
"208","ENSG00000179241","hurdle",0,0.2121973,1.4798386,1.2676413,0.738
"153","ENSG00000154975","hurdle",0,3.062617,3.5909,0.528283,0.735
"77","ENSG00000115183","hurdle",0,-0.4039828,1.0228711,1.4268539,0.734
"249","ENSG00000227220","hurdle",0,-0.8459006,0.7602758,1.6061764,0.73
"163","ENSG00000162944","hurdle",0,-0.8407718,0.7893958,1.6301676,0.73
"194","ENSG00000171587","hurdle",0,4.670219,5.443285,0.773066,0.729
"178","ENSG00000166033","hurdle",0,-0.9842478,0.6979205,1.6821683,0.728
"253","ENSG00000242808","hurdle",4.22343906312916e-284,1.774149,3.009635,1.235486,0.727
"61","ENSG00000109686","hurdle",3.55123160260585e-285,1.14845,2.120673,0.972223,0.726
"26","ENSG00000077782","hurdle",0,-0.4484735,0.9858009,1.4342744,0.726
"82","ENSG00000118322","hurdle",0,-0.9085143,1.0657784,1.9742927,0.725
"151","ENSG00000154493","hurdle",0,0.1562695,1.1050283,0.9487588,0.721
"109","ENSG00000135905","hurdle",0,1.332973,1.983922,0.650949,0.721
"90","ENSG00000125462","hurdle",2.65180127406062e-282,0.3023138,1.5654967,1.2631829,0.719
"152","ENSG00000154856","hurdle",0,-1.96972804,0.09217953,2.06190757,0.718
"42","ENSG00000101144","hurdle",0,-2.23111083,-0.01871226,2.21239857,0.716
"258","ENSG00000259048","hurdle",0,-0.6645069,1.109171,1.7736779,0.715
"159","ENSG00000162407","hurdle",0,-0.943617,0.6413553,1.5849723,0.715
"139","ENSG00000150361","hurdle",0,-0.4562236,0.8103265,1.2665501,0.713
"149","ENSG00000153823","hurdle",4.72956289712787e-293,1.784051,2.396702,0.612651,0.71
"188","ENSG00000170075","hurdle",0,-2.4472063,-0.2414814,2.2057249,0.709
"70","ENSG00000112769","hurdle",0,-0.9635055,0.4970658,1.4605713,0.707
"190","ENSG00000170873","hurdle",2.84683978987563e-236,1.171312,2.037255,0.865943,0.705
"37","ENSG00000095015","hurdle",7.07721455318397e-297,-0.7790171,0.7448269,1.523844,0.705
"92","ENSG00000127328","hurdle",1.27838166483671e-243,-0.07154949,1.04790531,1.1194548,0.704
"39","ENSG00000100095","hurdle",5.30491877628179e-284,1.961365,2.52937,0.568005,0.703
"38","ENSG00000099954","hurdle",1.11959066139709e-307,-1.058158,0.491787,1.549945,0.703
"36","ENSG00000091656","hurdle",1.52473638079346e-303,0.2739179,1.0823795,0.8084616,0.703
"165","ENSG00000163110","hurdle",3.20876013060576e-295,-0.3552935,0.6738828,1.0291763,0.7
"98","ENSG00000132613","hurdle",9.05762828027636e-260,-0.6167259,0.6588887,1.2756146,0.699
"245","ENSG00000205927","hurdle",0,-2.8760369,-0.3885112,2.4875257,0.696
"186","ENSG00000169432","hurdle",4.30724636383888e-297,-0.2546041,0.8022465,1.0568506,0.696
"84","ENSG00000120907","hurdle",0,-0.4292429,0.4580789,0.8873218,0.695
"89","ENSG00000124440","hurdle",0,-1.5115326,0.1502917,1.6618243,0.694
"34","ENSG00000089250","hurdle",0,-1.3593385,0.2009871,1.5603256,0.694
"255","ENSG00000244128","hurdle",2.45793295457851e-246,0.9563993,1.6071015,0.6507022,0.691
"48","ENSG00000102934","hurdle",2.20729642432228e-316,-1.5372675,0.06186526,1.59913276,0.691
"83","ENSG00000118515","hurdle",1.08080157027435e-200,0.8300209,1.6036799,0.773659,0.686
"97","ENSG00000132561","hurdle",5.93244542409663e-293,-1.51887118,0.08588718,1.60475836,0.685
"78","ENSG00000115935","hurdle",1.34568069806833e-274,-1.1976213,0.3767945,1.5744158,0.685
"40","ENSG00000100146","hurdle",0,-2.204882,-0.2441213,1.9607607,0.685
"173","ENSG00000165246","hurdle",2.65880262126554e-193,1.43993,2.352683,0.912753,0.683
"233","ENSG00000196083","hurdle",4.13951006857312e-257,0.08828499,0.91933025,0.83104526,0.681
"206","ENSG00000178538","hurdle",3.69683020312247e-308,-1.4339658,0.3853599,1.8193257,0.681
"265","ENSG00000286778","hurdle",0,-2.44461046,0.08448514,2.5290956,0.68
"257","ENSG00000258733","hurdle",6.31400493629702e-314,-1.472155,0.451568,1.923723,0.68
"214","ENSG00000181804","hurdle",7.3507787961787e-189,0.6961957,1.2988397,0.602644,0.68
"85","ENSG00000121957","hurdle",3.83523822278597e-205,-0.3890016,0.7764296,1.1654312,0.68
"184","ENSG00000169181","hurdle",4.72791555599193e-260,-0.05303356,0.71115426,0.76418782,0.675
"171","ENSG00000164574","hurdle",1.15692186617593e-203,-0.5648278,0.4944288,1.0592566,0.675
"154","ENSG00000155324","hurdle",3.33378155535834e-207,-0.4751205,0.5345135,1.009634,0.673
"123","ENSG00000143842","hurdle",0,-2.4074857,-0.4552546,1.9522311,0.671
"239","ENSG00000198795","hurdle",1.64964892057398e-190,-0.3407735,0.6757461,1.0165196,0.669
"56","ENSG00000105855","hurdle",2.43467687742557e-186,-0.2363114,0.5814879,0.8177993,0.669
"168","ENSG00000163697","hurdle",4.71643376987991e-155,2.069818,2.659242,0.589424,0.668
"35","ENSG00000091490","hurdle",4.82017120827941e-242,-0.8390662,0.1642953,1.0033615,0.668
"128","ENSG00000146648","hurdle",3.21565449796601e-271,-0.4581495,0.2537086,0.7118581,0.666
"51","ENSG00000103528","hurdle",1.847955665498e-204,-0.6002611,0.3490384,0.9492995,0.666
"169","ENSG00000164300","hurdle",2.06063883453583e-149,0.5109104,1.4335102,0.9225998,0.663
"114","ENSG00000137478","hurdle",4.72616731843037e-151,1.630012,2.229968,0.599956,0.663
"127","ENSG00000146592","hurdle",3.25862621064422e-174,0.4780708,1.1742153,0.6961445,0.661
"227","ENSG00000186998","hurdle",3.26779763237799e-264,-1.882434,-0.268996,1.613438,0.66
"232","ENSG00000189058","hurdle",5.72446682306784e-233,-1.6962038,-0.2257428,1.470461,0.657
"115","ENSG00000138193","hurdle",9.25977189364035e-215,-0.97267019,0.03162803,1.00429822,0.655
"244","ENSG00000205683","hurdle",1.43927401235001e-177,-0.6201798,0.3189504,0.9391302,0.654
"5","ENSG00000020577","hurdle",4.187401504557e-142,1.194384,1.84655,0.652166,0.654
"2","ENSG00000008311","hurdle",4.18721358575215e-206,-1.5834784,-0.2450023,1.3384761,0.653
"261","ENSG00000259417","hurdle",4.40452934908507e-312,-1.8887913,-0.3519853,1.536806,0.651
