"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.EndoMural","log2fold_change","Auc"
"161","ENSG00000164330","hurdle",0,-1.409997,2.853217,4.263214,0.884
"69","ENSG00000116016","hurdle",0,-2.189725,2.755873,4.945598,0.883
"79","ENSG00000123243","hurdle",0,-2.739892,2.387653,5.127545,0.877
"30","ENSG00000082438","hurdle",0,-0.3570987,2.9704117,3.3275104,0.863
"157","ENSG00000163453","hurdle",0,-2.125932,2.096163,4.222095,0.858
"14","ENSG00000054654","hurdle",0,-1.528267,1.798191,3.326458,0.829
"166","ENSG00000166710","hurdle",0,-1.522758,1.933391,3.456149,0.823
"109","ENSG00000137831","hurdle",0,-2.020069,1.482581,3.50265,0.821
"188","ENSG00000175899","hurdle",0,-1.786893,1.957872,3.744765,0.819
"219","ENSG00000245532","hurdle",0,1.849273,3.605313,1.75604,0.817
"44","ENSG00000102755","hurdle",0,-2.254439,3.941114,6.195553,0.816
"110","ENSG00000137962","hurdle",0,-0.2482398,2.1935415,2.4417813,0.81
"119","ENSG00000143248","hurdle",0,-1.259711,2.11759,3.377301,0.806
"26","ENSG00000079308","hurdle",0,-1.708027,1.335031,3.043058,0.801
"6","ENSG00000018625","hurdle",0,-0.3664551,3.5091361,3.8755912,0.801
"212","ENSG00000206190","hurdle",0,-1.948372,3.152106,5.100478,0.795
"72","ENSG00000118777","hurdle",0,-2.766949,2.044568,4.811517,0.793
"211","ENSG00000204592","hurdle",0,-2.736346,1.230596,3.966942,0.787
"9","ENSG00000027075","hurdle",0,-1.804793,1.937238,3.742031,0.787
"151","ENSG00000158270","hurdle",0,-2.290127,2.499274,4.789401,0.785
"130","ENSG00000148498","hurdle",0,0.4081317,2.4264918,2.0183601,0.784
"114","ENSG00000138795","hurdle",0,-1.387367,1.9017,3.289067,0.784
"213","ENSG00000213949","hurdle",0,-2.403234,1.023781,3.427015,0.779
"142","ENSG00000152818","hurdle",0,1.244009,2.832146,1.588137,0.778
"136","ENSG00000151491","hurdle",0,-0.7737936,2.3836859,3.1574795,0.775
"34","ENSG00000085276","hurdle",0,-2.826024,2.355995,5.182019,0.773
"67","ENSG00000115414","hurdle",0,-1.688966,1.264956,2.953922,0.772
"200","ENSG00000184113","hurdle",0,-2.991997,1.190131,4.182128,0.77
"148","ENSG00000157110","hurdle",0,-1.961456,1.189837,3.151293,0.767
"101","ENSG00000134954","hurdle",0,-1.738827,1.131807,2.870634,0.764
"57","ENSG00000110799","hurdle",0,-2.764058,1.547173,4.311231,0.76
"158","ENSG00000163513","hurdle",0,-2.6164482,0.6272323,3.2436805,0.758
"99","ENSG00000132530","hurdle",0,-2.7086344,0.7255637,3.4341981,0.758
"220","ENSG00000249669","hurdle",0,-3.12686,1.00624,4.1331,0.756
"218","ENSG00000241684","hurdle",0,0.4522096,1.8184342,1.3662246,0.755
"137","ENSG00000151702","hurdle",0,-2.55863,1.5248,4.08343,0.755
"118","ENSG00000142089","hurdle",0,-2.7996954,0.7412532,3.5409486,0.755
"170","ENSG00000167693","hurdle",0,-1.610918,1.446226,3.057144,0.75
"17","ENSG00000069122","hurdle",0,-1.683236,1.188664,2.8719,0.75
"63","ENSG00000113721","hurdle",0,-1.665172,1.522008,3.18718,0.747
"21","ENSG00000074181","hurdle",0,-2.9994155,0.8708894,3.8703049,0.747
"55","ENSG00000107719","hurdle",0,-1.7600921,0.8767293,2.6368214,0.745
