"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Oligo","log2fold_change","Auc"
"57","ENSG00000123560","hurdle",0,-0.1789767,3.7847354,3.9637121,0.937
"81","ENSG00000147488","hurdle",0,-1.325726,3.843306,5.169032,0.935
"114","ENSG00000168314","hurdle",0,-1.31773,2.550778,3.868508,0.895
"144","ENSG00000197971","hurdle",0,1.580726,3.988452,2.407726,0.893
"27","ENSG00000091513","hurdle",0,-1.105845,2.267503,3.373348,0.869
"137","ENSG00000187147","hurdle",0,0.565316,3.58468,3.019364,0.867
"80","ENSG00000147459","hurdle",0,-1.448623,2.205687,3.65431,0.858
"70","ENSG00000136960","hurdle",0,-1.737663,1.890872,3.628535,0.857
"89","ENSG00000154493","hurdle",0,-1.484507,2.158503,3.64301,0.856
"11","ENSG00000064787","hurdle",0,-1.291755,1.662034,2.953789,0.856
"47","ENSG00000114541","hurdle",0,-0.5263757,2.480642,3.0070177,0.848
"98","ENSG00000164124","hurdle",0,-1.095454,2.161466,3.25692,0.839
"133","ENSG00000183960","hurdle",0,-0.7725284,2.0556715,2.8281999,0.838
"145","ENSG00000198121","hurdle",0,-1.802689,1.523615,3.326304,0.822
"110","ENSG00000167123","hurdle",0,-1.931465,1.370237,3.301702,0.819
"147","ENSG00000204655","hurdle",0,-2.6263813,0.9653134,3.5916947,0.817
"123","ENSG00000174607","hurdle",0,-2.14514,1.313982,3.459122,0.815
"158","ENSG00000253877","hurdle",0,-2.469055,1.722835,4.19189,0.814
"125","ENSG00000176771","hurdle",0,0.4966735,2.8096309,2.3129574,0.814
"85","ENSG00000150656","hurdle",0,-2.413668,1.211572,3.62524,0.811
"68","ENSG00000135905","hurdle",0,0.6132876,2.7892004,2.1759128,0.808
"34","ENSG00000103089","hurdle",0,-2.486343,1.0347,3.521043,0.807
"13","ENSG00000065809","hurdle",0,-1.962728,1.281555,3.244283,0.807
"9","ENSG00000054690","hurdle",0,-0.3604872,2.1081567,2.4686439,0.805
