"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astro","log2fold_change","Auc"
"538","ENSG00000234377","hurdle",0,-0.9107694,3.3026889,4.2134583,0.892
"50","ENSG00000079215","hurdle",0,-0.1943336,3.6622273,3.8565609,0.883
"127","ENSG00000110436","hurdle",0,1.654632,5.411065,3.756433,0.864
"378","ENSG00000164199","hurdle",0,0.07573211,4.03264283,3.95691072,0.861
"458","ENSG00000179399","hurdle",0,1.813891,4.699532,2.885641,0.838
"15","ENSG00000018625","hurdle",0,-0.0903243,2.1275229,2.2178472,0.838
"233","ENSG00000135540","hurdle",0,-1.768433,2.262861,4.031294,0.827
"242","ENSG00000136297","hurdle",0,-1.038013,1.766313,2.804326,0.813
"544","ENSG00000236790","hurdle",0,0.007673126,2.573855202,2.566182076,0.811
"271","ENSG00000142611","hurdle",0,-2.581974,1.061731,3.643705,0.806
"114","ENSG00000106571","hurdle",0,-2.546361,1.456746,4.003107,0.798
"176","ENSG00000124440","hurdle",0,-2.140137,1.23532,3.375457,0.795
"335","ENSG00000154217","hurdle",0,1.763338,3.956216,2.192878,0.79
"57","ENSG00000080573","hurdle",0,-1.674333,1.660069,3.334402,0.79
"22","ENSG00000046889","hurdle",0,-0.3444649,2.4118092,2.7562741,0.789
"482","ENSG00000185942","hurdle",0,1.12378,3.138109,2.014329,0.788
"253","ENSG00000138696","hurdle",0,-0.91709,1.850462,2.767552,0.788
"470","ENSG00000183580","hurdle",0,0.78247,2.998,2.21553,0.786
"341","ENSG00000154930","hurdle",0,-2.30156,0.9839394,3.2854994,0.786
"468","ENSG00000182902","hurdle",0,-2.254223,1.126269,3.380492,0.785
"147","ENSG00000116117","hurdle",0,-0.5635863,2.0432972,2.6068835,0.784
"35","ENSG00000068078","hurdle",0,-2.6404369,0.5594546,3.1998915,0.783
"259","ENSG00000140022","hurdle",0,-2.267004,1.189476,3.45648,0.782
"118","ENSG00000107317","hurdle",0,0.4352591,1.9130317,1.4777726,0.782
"189","ENSG00000127249","hurdle",0,-1.320238,1.691841,3.012079,0.78
"103","ENSG00000103740","hurdle",0,-2.315453,0.935282,3.250735,0.779
"553","ENSG00000245532","hurdle",0,1.73786,3.558092,1.820232,0.778
"130","ENSG00000111783","hurdle",0,-0.7867592,2.0803773,2.8671365,0.777
"283","ENSG00000144749","hurdle",0,-0.911183,1.880315,2.791498,0.773
"331","ENSG00000153944","hurdle",0,1.593095,3.575471,1.982376,0.772
"309","ENSG00000149090","hurdle",0,-1.294582,1.493137,2.787719,0.772
"302","ENSG00000148498","hurdle",0,0.2604704,2.3851968,2.1247264,0.772
"342","ENSG00000155324","hurdle",0,-0.8438498,1.6845272,2.528377,0.766
"183","ENSG00000125462","hurdle",0,0.09856233,2.07608435,1.97752202,0.766
"359","ENSG00000162407","hurdle",0,-1.38397,1.500972,2.884942,0.765
"46","ENSG00000076555","hurdle",0,-1.750373,1.031896,2.782269,0.762
"317","ENSG00000151012","hurdle",0,-1.801118,1.313696,3.114814,0.759
"43","ENSG00000072952","hurdle",0,-2.4584998,0.7454755,3.2039753,0.756
"437","ENSG00000172987","hurdle",0,-0.9804021,2.6664282,3.6468303,0.754
